Day,HomeTeam,AwayTeam,Weight
1,10,2,2.5151154
1,14,20,2.8426565999999998
2,12,6,0.2991195
2,16,8,0.3501945
2,24,15,0.3368745
2,30,17,0.26104499999999997
2,5,18,0.4093095
2,13,21,0.4394805
2,3,22,0.25436400000000003
2,9,23,0.250983
2,7,25,0.28918049999999995
2,11,27,0.29659349999999995
3,1,2,0.44740779999999997
3,10,19,0.5277831999999999
3,14,26,0.688107
3,20,28,0.4177684
4,3,1,0.46034959999999997
4,22,6,0.3525739
4,29,8,0.33548259999999996
4,7,9,0.4709756
4,17,11,0.5231304
4,4,16,0.2551735
4,27,19,0.33676369999999994
4,23,25,0.35727509999999996
4,15,28,0.21781459999999997
4,12,30,0.25568179999999996
5,20,5,1.0455848
5,14,6,1.4259726000000001
5,13,7,0.8948888
5,23,8,0.7074860000000001
5,3,11,0.6026566
5,12,16,0.448656
5,2,17,1.0347636
5,27,21,0.5995626000000001
5,10,24,1.3330356
5,18,26,0.500474
6,5,9,0.41162639999999995
6,14,10,1.7508542999999996
6,4,13,0.4195338
6,25,18,0.32807659999999994
6,26,19,0.24668189999999998
6,22,20,0.6478295
6,15,21,0.3980081
6,29,24,0.42656029999999995
6,2,28,0.7032088999999999
6,1,30,0.21992829999999997
7,12,9,0.104605
7,22,15,0.07796
7,29,25,0.02909
7,4,30,0.049552
8,23,3,0.3340956
8,5,8,0.340506
8,21,19,0.194688
8,20,24,0.5139444
9,6,1,0.2758035
9,12,7,0.372984
9,2,11,0.526824
9,26,13,0.3569985
9,10,15,0.5816925
9,9,17,0.2512035
9,28,18,0.253698
9,16,22,0.1896585
9,14,29,0.650994
9,27,30,0.2164665
10,19,8,0.24384779999999998
10,24,20,0.5996018
10,5,21,0.3805452
10,3,23,0.3897782
11,28,2,0.7032088999999999
11,9,6,0.3577167
11,22,7,0.46583279999999994
11,26,11,0.3646926
11,4,12,0.19981249999999998
11,15,14,1.0881713999999998
11,25,16,0.268387
11,29,18,0.31045629999999996
11,1,19,0.22477669999999997
11,27,30,0.33191529999999997
12,8,2,1.0296676
12,12,3,0.5608096
12,23,5,0.7424794000000001
12,11,6,0.5603208000000001
12,13,7,0.8948888
12,17,18,0.679575
12,20,21,0.9795552
12,16,24,0.7099612000000001
12,10,26,1.0560758000000001
12,14,27,1.3797472000000002
13,23,4,0.34406159999999997
13,28,5,0.4449879
13,30,8,0.395761
13,20,9,0.6529723
13,21,13,0.6738700999999999
13,24,15,0.5165409
13,3,19,0.4151063
13,10,22,0.8419908999999999
13,1,25,0.1772725
13,17,29,0.3399929
14,4,15,0.062466
14,9,22,0.058485
14,28,25,0.063241
14,29,30,0.047636
16,7,2,0.6529334999999999
16,14,8,0.837645
16,24,10,0.7690589999999999
16,5,13,0.4775745
16,21,18,0.37121550000000003
16,17,22,0.2478495
16,6,23,0.39319499999999996
16,3,25,0.2397405
16,16,27,0.3085575
16,20,30,0.435693
17,19,1,0.1368206
17,28,15,0.13258279999999997
17,12,26,0.1994552
17,11,29,0.1414742
18,24,1,0.5369280999999999
18,3,4,0.35438859999999994
18,15,5,0.45641889999999996
18,9,8,0.3806707
18,30,16,0.31104279999999995
18,23,22,0.3796978
18,7,25,0.4434100999999999
18,28,27,0.35018879999999997
18,2,29,0.6246615999999999
19,12,5,0.5794152
19,17,8,0.7078682000000001
19,6,10,1.2041328
19,13,11,0.676299
19,27,14,1.3797472000000002
19,24,18,0.7774338
19,16,20,0.9148256
19,7,21,0.7738198000000001
19,2,23,1.0343814
19,3,26,0.5451550000000001
20,6,4,0.3169377
20,20,9,0.6529723
20,1,11,0.3427897
20,26,13,0.5473976999999999
20,25,14,1.0158111
20,10,15,0.8919284999999999
20,19,18,0.3755785
20,21,22,0.34807049999999995
20,17,28,0.4185402
20,12,30,0.25568179999999996
21,16,4,0.110945
21,29,9,0.041075
21,27,25,0.125765
21,22,30,0.065046
22,11,2,0.4214592
22,7,6,0.359496
22,14,10,0.9134891999999999
22,18,19,0.195954
23,5,4,0.2418555
23,3,9,0.257718
23,21,15,0.25957050000000004
23,8,16,0.3501945
23,1,17,0.2937135
23,24,26,0.364455
23,12,27,0.272451
23,20,28,0.44760900000000003
23,13,29,0.270735
23,23,30,0.2608245
24,14,2,0.9578225999999999
24,7,6,0.419412
24,10,18,0.647115
24,11,19,0.1811152
25,21,1,0.41839529999999997
25,25,3,0.3676021
25,22,5,0.4064813
25,29,13,0.41512699999999997
25,26,15,0.271538
25,28,16,0.3293163
25,4,17,0.3443997
25,27,19,0.33676369999999994
25,9,20,0.6529723
25,24,30,0.48683639999999995
26,5,3,0.7541534000000001
26,24,6,0.779779
26,10,7,1.3321646
26,26,8,0.5287672
26,23,11,0.5909826
26,16,12,0.448656
26,21,14,1.4208818
26,18,17,0.679575
26,2,20,1.3374868000000002
26,13,27,0.7206316
27,30,1,0.21992829999999997
27,2,4,0.6290683999999999
27,25,8,0.35310519999999995
27,18,10,1.0631175
27,9,12,0.24059149999999999
27,7,19,0.49091429999999997
27,6,22,0.3525739
27,15,23,0.42963539999999995
27,14,28,1.0767404
27,11,29,0.2324219
28,25,9,0.048736
28,15,22,0.07796
28,29,28,0.05558
28,4,30,0.049552
29,5,1,0.24876839999999997
29,3,7,0.3790356
29,10,18,0.55467
29,21,19,0.194688
30,8,1,0.290772
30,14,4,0.653868
30,15,11,0.2102625
30,20,12,0.4916775
30,28,13,0.321963
30,2,16,0.538788
30,6,22,0.22993950000000002
30,17,23,0.41110499999999994
30,24,25,0.28968299999999997
30,27,26,0.2634195
31,3,7,0.4422082
31,10,18,0.647115
31,5,19,0.2626904
31,21,30,0.2241848
32,4,1,0.164059
32,9,11,0.27760999999999997
32,17,15,0.42997349999999995
32,22,16,0.29080969999999995
32,2,19,0.6897860999999998
32,29,26,0.18155739999999998
32,25,27,0.28925949999999995
32,12,28,0.27395299999999995
32,20,30,0.6680626
33,10,3,1.2464686
33,14,7,1.5540044
33,6,11,0.5603208000000001
33,5,12,0.5794152
33,8,13,0.7928023999999999
33,26,17,0.5338632
33,2,20,1.3374868000000002
33,27,21,0.5995626000000001
33,16,23,0.6117201999999999
33,18,24,0.7774338
34,28,6,0.39107819999999993
34,21,8,0.5942257
34,18,9,0.35564209999999996
34,5,10,1.1191018
34,1,13,0.5254948
34,14,15,1.0881713999999998
34,7,19,0.49091429999999997
34,22,23,0.3796978
34,24,25,0.4441805999999999
34,3,30,0.41025789999999995
35,16,9,0.128675
35,29,11,0.101053
35,4,12,0.086875
35,25,22,0.046499
36,4,1,0.085596
36,19,15,0.106638
36,29,26,0.0947256
36,28,30,0.09814439999999999
37,10,8,0.7096605
37,23,12,0.316809
37,26,13,0.3569985
37,2,16,0.538788
37,6,17,0.3934155
37,11,18,0.3219075
37,7,20,0.641928
37,14,21,0.8197395000000001
37,3,24,0.47429699999999997
37,5,27,0.38399549999999993
39,15,2,0.7146421999999999
39,6,4,0.3169377
39,28,5,0.4449879
39,14,9,1.0433789
39,29,18,0.31045629999999996
39,12,19,0.2605302
39,22,23,0.3796978
39,20,25,0.6254067999999999
39,10,27,1.0243027
39,26,30,0.24183349999999998
40,1,3,0.5203952000000001
40,24,5,0.8407203999999999
40,8,6,0.6768242000000001
40,21,10,1.1990420000000002
40,17,11,0.5913648
40,2,12,0.8713172
40,14,13,1.5419508
40,7,18,0.7765628
40,16,20,0.9148256
40,27,23,0.6353152000000001
41,22,1,0.1996952
41,3,9,0.39516759999999995
41,7,15,0.5157704
41,11,16,0.43390419999999996
41,26,19,0.24668189999999998
41,4,24,0.43096709999999994
41,21,25,0.32564779999999993
41,17,28,0.4185402
41,8,29,0.33548259999999996
41,13,30,0.47540309999999997
42,28,9,0.075226
42,25,19,0.057405
42,29,22,0.038838
42,4,30,0.049552
43,14,15,0.5677416
43,8,18,0.3112968
